Dấu thời gian,Bạn là sinh viên năm mấy ?,Trung bình tuần bạn giành thời gian bao lâu để học ngoài giờ trên lớp?,"Số môn hiện tại học kì này bạn đang học là bao nhiêu môn?
",Hiện tại bạn có đang đi làm thêm không?,Bạn có tham gia CLB đoàn hội của trường không?,Tỷ lệ tham gia các buổi học trên lớp của bạn trung  bình là bao nhiêu?,Bạn thường học theo hình thức nào ?,Thời gian trung bình bạn dành ra để ngủ là bao lâu?,Bạn dành thời gian trung bình bao lâu trong 1 ngày để lướt mạng xã hội,GPA kì gần nhất của bạn là bao nhiêu?
5/18/2026 23:37:28,Năm 1,> 20 tiếng,8,Trên 20 tiếng/tuần,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:37:51,Năm 2,15 - 20 tiếng,10,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/18/2026 23:38:28,Năm 1,> 20 tiếng,7,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,< 5 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:39:08,Năm 1,15 - 20 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:39:37,Năm 1,> 20 tiếng,8,Dưới 20 tiếng/ tuần,KHÔNG,50 - 70%,Cả 2,5 - 6 tiếng,> 6 tiếng,2.5 - 3.0
5/19/2026 7:38:04,Năm 2,6-10 tiếng,12,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,> 3.5
5/19/2026 7:39:45,Năm 1,15 - 20 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,< 5 tiếng,4 - 6 tiếng,3.0 - 3.5
5/19/2026 7:42:05,Năm 2,15 - 20 tiếng,7,Không,CÓ,50 - 70%,"Học theo nhóm, Cả 2",5 - 6 tiếng,4 - 6 tiếng,2.5 - 3.0
5/19/2026 7:42:38,Năm 3,6-10 tiếng,8,Trên 20 tiếng/tuần,KHÔNG,50 - 70%,tự học,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/19/2026 7:43:57,Năm 1,6-10 tiếng,9,Không,CÓ,> 90 %,Cả 2,< 5 tiếng,> 6 tiếng,> 3.5
5/19/2026 7:45:38,Năm 2,6-10 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,50 - 70%,Học theo nhóm,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/19/2026 7:45:59,Năm 1,> 20 tiếng,12,Không,CÓ,> 90 %,Cả 2,< 5 tiếng,< 2 tiếng,> 3.5
5/19/2026 7:46:27,Năm 3,10 - 15 tiếng,7,Trên 20 tiếng/tuần,KHÔNG,70 - 90%,"tự học, Học theo nhóm",> 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/19/2026 7:46:44,Năm 3,6-10 tiếng,6,Trên 20 tiếng/tuần,CÓ,50 - 70%,Học theo nhóm,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/19/2026 7:47:07,Năm 4,6-10 tiếng,7,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,tự học,6 - 8 tiếng,2 - 4 tiếng,2.0 - 2.5
5/19/2026 12:47:18,Năm 4,6-10 tiếng,4,Không,CÓ,50 - 70%,Cả 2,5 - 6 tiếng,2 - 4 tiếng,2.5 - 3.0
5/19/2026 12:47:42,Năm 1,< 6 tiếng,2,Trên 20 tiếng/tuần,CÓ,50 - 70%,tự học,< 5 tiếng,< 2 tiếng,< 2.0
5/19/2026 12:48:16,Năm 1,10 - 15 tiếng,4,Không,CÓ,50 - 70%,Học theo nhóm,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/19/2026 12:50:11,Năm 2,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Cả 2,> 8 tiếng,> 6 tiếng,> 3.5
5/19/2026 12:51:32,Năm 3,< 6 tiếng,3,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,tự học,> 8 tiếng,4 - 6 tiếng,> 3.5
5/20/2026 17:21:36,Năm 1,15 - 20 tiếng,7,Không,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/20/2026 17:22:14,Năm 1,> 20 tiếng,9,Trên 20 tiếng/tuần,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/20/2026 17:22:44,Năm 1,> 20 tiếng,12,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,> 3.5
5/20/2026 17:23:29,Năm 2,15 - 20 tiếng,9,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/20/2026 17:24:07,Năm 2,> 20 tiếng,6,Không,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/20/2026 17:24:39,Năm 1,> 20 tiếng,10,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/20/2026 17:25:15,Năm 1,10 - 15 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/20/2026 17:25:56,Năm 1,> 20 tiếng,10,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/20/2026 17:26:30,Năm 1,15 - 20 tiếng,12,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,> 3.5
5/20/2026 17:27:07,Năm 4,15 - 20 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/20/2026 17:27:38,Năm 3,> 20 tiếng,7,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/20/2026 17:29:58,Năm 1,> 20 tiếng,8,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/20/2026 17:31:43,Năm 4,15 - 20 tiếng,4,Trên 20 tiếng/tuần,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/20/2026 17:33:31,Năm 3,15 - 20 tiếng,10,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/20/2026 17:34:02,Năm 1,6-10 tiếng,10,Trên 20 tiếng/tuần,CÓ,70 - 90%,Cả 2,> 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:19:30,Năm 3,15 - 20 tiếng,3,Dưới 20 tiếng/ tuần,KHÔNG,< 50%,Học theo nhóm,< 5 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:19:40,Năm 1,15 - 20 tiếng,7,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,Cả 2,5 - 6 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:19:47,Năm 3,10 - 15 tiếng,4,Dưới 20 tiếng/ tuần,CÓ,50 - 70%,Học theo nhóm,5 - 6 tiếng,< 2 tiếng,2.5 - 3.0
5/21/2026 20:20:04,Năm 4,15 - 20 tiếng,7,Dưới 20 tiếng/ tuần,KHÔNG,50 - 70%,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:20:12,Năm 2,> 20 tiếng,10,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 20:20:21,Năm 4,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Học theo nhóm,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:20:59,Năm 2,> 20 tiếng,7,Trên 20 tiếng/tuần,CÓ,70 - 90%,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:21:14,Năm 3,10 - 15 tiếng,3,Không,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 20:21:28,Năm 4,10 - 15 tiếng,4,Trên 20 tiếng/tuần,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:21:46,Năm 3,6-10 tiếng,6,Trên 20 tiếng/tuần,CÓ,50 - 70%,tự học,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:21:49,Năm 4,> 20 tiếng,3,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:22:02,Năm 3,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:22:18,Năm 4,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,CÓ,50 - 70%,Học theo nhóm,> 8 tiếng,> 6 tiếng,> 3.5
5/21/2026 20:22:27,Năm 1,> 20 tiếng,8,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 20:22:36,Năm 2,15 - 20 tiếng,5,Không,CÓ,> 90 %,Học theo nhóm,5 - 6 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:22:54,Năm 1,> 20 tiếng,9,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 20:23:06,Năm 3,6-10 tiếng,5,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:23:21,Năm 3,6-10 tiếng,4,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:23:30,Năm 1,> 20 tiếng,9,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:23:35,Năm 3,10 - 15 tiếng,4,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:23:50,Năm 2,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:24:36,Năm 1,< 6 tiếng,5,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:24:51,Năm 3,6-10 tiếng,5,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:25:10,Năm 3,10 - 15 tiếng,5,Không,KHÔNG,> 90 %,tự học,5 - 6 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:25:36,Năm 2,> 20 tiếng,9,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:26:01,Năm 4,6-10 tiếng,5,Không,KHÔNG,> 90 %,Học theo nhóm,< 5 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 20:26:22,Năm 4,6-10 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,< 2 tiếng,2.5 - 3.0
5/21/2026 20:26:25,Năm 2,10 - 15 tiếng,6,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:27:06,Năm 3,10 - 15 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:27:21,Năm 2,< 6 tiếng,6,Không,KHÔNG,> 90 %,Học theo nhóm,< 5 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:27:37,Năm 2,10 - 15 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,< 5 tiếng,> 6 tiếng,2.0 - 2.5
5/21/2026 20:27:53,Năm 1,< 6 tiếng,6,Không,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:27:57,Năm 2,10 - 15 tiếng,7,Trên 20 tiếng/tuần,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:28:09,Năm 4,> 20 tiếng,5,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:28:27,Năm 3,6-10 tiếng,5,Không,KHÔNG,> 90 %,"Học theo nhóm, Cả 2",6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:28:43,Năm 2,6-10 tiếng,5,Không,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:28:48,Năm 1,6-10 tiếng,7,Không,KHÔNG,> 90 %,tự học,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:29:02,Năm 4,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:29:25,Năm 3,< 6 tiếng,2,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,2.5 - 3.0
5/21/2026 20:29:41,Năm 2,10 - 15 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:29:42,Năm 2,15 - 20 tiếng,6,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:30:00,Năm 3,6-10 tiếng,4,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:30:29,Năm 2,6-10 tiếng,10,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:30:58,Năm 2,10 - 15 tiếng,5,Không,KHÔNG,> 90 %,Học theo nhóm,5 - 6 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:31:05,Năm 3,> 20 tiếng,8,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:31:15,Năm 1,10 - 15 tiếng,5,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:31:32,Năm 3,6-10 tiếng,5,Trên 20 tiếng/tuần,KHÔNG,> 90 %,tự học,6 - 8 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:31:53,Năm 3,15 - 20 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:32:14,Năm 1,10 - 15 tiếng,8,Không,CÓ,> 90 %,tự học,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:32:22,Năm 3,10 - 15 tiếng,7,Dưới 20 tiếng/ tuần,CÓ,> 90 %,tự học,6 - 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:32:22,Năm 1,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:33:05,Năm 3,6-10 tiếng,2,Không,CÓ,> 90 %,Học theo nhóm,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:33:20,Năm 2,10 - 15 tiếng,6,Không,KHÔNG,> 90 %,Học theo nhóm,> 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:33:37,Năm 4,15 - 20 tiếng,6,Không,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:33:53,Năm 3,10 - 15 tiếng,5,Không,KHÔNG,> 90 %,tự học,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/21/2026 20:34:16,Năm 1,6-10 tiếng,7,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:34:32,Năm 4,10 - 15 tiếng,6,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 20:34:34,Năm 2,> 20 tiếng,8,Không,CÓ,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 20:35:28,Năm 2,6-10 tiếng,3,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:36:17,Năm 3,6-10 tiếng,4,Không,KHÔNG,> 90 %,tự học,5 - 6 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:37:29,Năm 3,10 - 15 tiếng,9,Không,CÓ,> 90 %,Cả 2,5 - 6 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:37:38,Năm 3,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:37:59,Năm 3,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:38:28,Năm 2,6-10 tiếng,4,Không,KHÔNG,> 90 %,Học theo nhóm,6 - 8 tiếng,> 6 tiếng,3.0 - 3.5
5/21/2026 20:38:35,Năm 2,15 - 20 tiếng,9,Trên 20 tiếng/tuần,CÓ,50 - 70%,tự học,< 5 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 20:38:37,Năm 1,< 6 tiếng,7,Trên 20 tiếng/tuần,CÓ,70 - 90%,tự học,< 5 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 20:39:07,Năm 3,10 - 15 tiếng,8,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:39:27,Năm 3,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,> 6 tiếng,2.0 - 2.5
5/21/2026 20:39:56,Năm 3,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:40:17,Năm 4,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:40:22,Năm 3,15 - 20 tiếng,10,Trên 20 tiếng/tuần,KHÔNG,70 - 90%,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:40:37,Năm 2,6-10 tiếng,8,Không,CÓ,70 - 90%,tự học,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:40:37,Năm 4,< 6 tiếng,4,Không,KHÔNG,> 90 %,tự học,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:40:52,Năm 1,10 - 15 tiếng,8,Dưới 20 tiếng/ tuần,KHÔNG,70 - 90%,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:41:05,Năm 1,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:41:30,Năm 2,6-10 tiếng,5,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:41:37,Năm 4,> 20 tiếng,3,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,< 5 tiếng,2 - 4 tiếng,> 3.5
5/21/2026 20:41:42,Năm 2,< 6 tiếng,6,Không,KHÔNG,70 - 90%,tự học,> 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:41:56,Năm 3,10 - 15 tiếng,4,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:42:16,Năm 3,6-10 tiếng,8,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,2.5 - 3.0
5/21/2026 20:42:22,Năm 4,10 - 15 tiếng,6,Trên 20 tiếng/tuần,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:42:42,Năm 1,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:43:03,Năm 2,15 - 20 tiếng,4,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 20:43:36,Năm 1,15 - 20 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:43:42,Năm 3,10 - 15 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Học theo nhóm,5 - 6 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:44:13,Năm 2,> 20 tiếng,8,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:44:29,Năm 3,6-10 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:44:50,Năm 4,15 - 20 tiếng,4,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:45:15,Năm 1,6-10 tiếng,3,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,2.5 - 3.0
5/21/2026 20:46:58,Năm 1,< 6 tiếng,6,Không,KHÔNG,> 90 %,tự học,6 - 8 tiếng,> 6 tiếng,> 3.5
5/21/2026 20:47:04,Năm 2,15 - 20 tiếng,6,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,2.5 - 3.0
5/21/2026 20:47:49,Năm 3,15 - 20 tiếng,5,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:48:05,Năm 3,10 - 15 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:48:20,Năm 1,10 - 15 tiếng,9,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:48:29,Năm 3,< 6 tiếng,4,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:48:49,Năm 1,6-10 tiếng,4,Không,CÓ,> 90 %,tự học,6 - 8 tiếng,< 2 tiếng,3.0 - 3.5
5/21/2026 20:49:10,Năm 2,10 - 15 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:49:40,Năm 3,15 - 20 tiếng,4,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/21/2026 20:49:46,Năm 3,< 6 tiếng,7,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Học theo nhóm,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:49:59,Năm 1,10 - 15 tiếng,6,Không,CÓ,> 90 %,tự học,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/21/2026 20:50:05,Năm 4,6-10 tiếng,4,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:50:19,Năm 3,< 6 tiếng,5,Trên 20 tiếng/tuần,CÓ,70 - 90%,Cả 2,5 - 6 tiếng,2 - 4 tiếng,3.0 - 3.5
5/21/2026 20:50:22,Năm 4,> 20 tiếng,8,Không,CÓ,> 90 %,Cả 2,> 8 tiếng,< 2 tiếng,> 3.5
5/21/2026 20:50:31,Năm 1,6-10 tiếng,6,Không,KHÔNG,> 90 %,Cả 2,> 8 tiếng,> 6 tiếng,> 3.5
5/21/2026 20:50:52,Năm 2,10 - 15 tiếng,7,Không,KHÔNG,> 90 %,tự học,> 8 tiếng,4 - 6 tiếng,> 3.5
